db_id,question
bike_1,What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?
bike_1,Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.
bike_1,"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?"
bike_1,"For each zip code, return how many times max wind speed reached 25?"
bike_1,"For each zip code, how many times has the maximum wind speed reached 25 mph?"
bike_1,"For each trip, return its ending station's installation date."
bike_1,What is the installation date for each ending station on all the trips?
bike_1,Count the number of trips that did not end in San Francisco city.
bike_1,How many trips did not end in San Francisco?
bike_1,"In zip code 94107, on which day neither Fog nor Rain was not observed?"
bike_1,On which day has it neither been foggy nor rained in the zip code of 94107?
bike_1,"What are the name, latitude, and city of the station with the lowest latitude?"
bike_1,"What is the name, latitude, and city of the station that is located the furthest South?"
bike_1,"What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?"
bike_1,"What is the date, average temperature and mean humidity for the days with the 3 largest maximum gust speeds?"
bike_1,List the name and the number of stations for all the cities that have at least 15 stations.
bike_1,What is the name of every city that has at least 15 stations and how many stations does it have?
bike_1,Find the ids and names of stations from which at least 200 trips started.
bike_1,What are the ids and names of all start stations that were the beginning of at least 200 trips?
bike_1,Find the zip code in which the average mean visibility is lower than 10.
bike_1,"For each zip code, select all those that have an average mean visiblity below 10."
bike_1,List all the cities in a decreasing order of each city's stations' highest latitude.
bike_1,"For each city, list their names in decreasing order by their highest station latitude."
bike_1,What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.
bike_1,What are the dates that have the 5 highest cloud cover rates and what are the rates?
bike_1,What are the ids and durations of the trips with the top 3 durations?
bike_1,What are the ids of the trips that lasted the longest and how long did they last?
bike_1,"For each station, return its longitude and the average duration of trips that started from the station."
bike_1,"For each start station id, what is its name, longitude and average duration of trips started there?"
bike_1,"For each station, find its latitude and the minimum duration of trips that ended at the station."
bike_1,"For each end station id, what is its name, latitude, and minimum duration for trips ended there?"
bike_1,List all the distinct stations from which a trip of duration below 100 started.
bike_1,What are all the different start station names for a trip that lasted less than 100?
bike_1,What are the dates in which the mean sea level pressure was between 30.3 and 31?
bike_1,What are the dates that have an average sea level pressure between 30.3 and 31?
bike_1,Find the day in which the difference between the max temperature and min temperature was the smallest. Also report the difference.
bike_1,"What are the days that had the smallest temperature range, and what was that range?"
bike_1,What are the id and name of the stations that have ever had more than 12 bikes available?
bike_1,What are the different ids and names of the stations that have had more than 12 bikes available?
bike_1,What is the average latitude and longitude of the starting points of all trips?
bike_1,What is the average latitude and longitude of all starting stations for the trips?
book_2,How many books are there?
book_2,List the writers of the books in ascending alphabetical order.
book_2,List the titles of the books in ascending order of issues.
book_2,"What are the titles of the books whose writer is not ""Elaine Lee""?"
book_2,What are the title and issues of the books?
book_2,What are the dates of publications in descending order of price?
book_2,What are the distinct publishers of publications with price higher than 5000000?
book_2,List the publisher of the publication with the highest price.
book_2,List the publication dates of publications with 3 lowest prices.
book_2,Show the title and publication dates of books.
book_2,Show writers who have published a book with price more than 4000000.
book_2,Show the titles of books in descending order of publication price.
book_2,Show publishers that have more than one publication.
book_2,Show different publishers together with the number of publications they have.
book_2,List the writers who have written more than one book.
book_2,What is the number of distinct publication dates?
book_2,How many distinct publication dates are there in our record?
book_2,"Show the prices of publications whose publisher is either ""Person"" or ""Wiley"""
musical,How many actors are there?
musical,Count the number of actors.
musical,List the name of actors in ascending alphabetical order.
musical,"What are the names of actors, ordered alphabetically?"
musical,What are the characters and duration of actors?
musical,Return the characters and durations for each actor.
musical,List the name of actors whose age is not 20.
musical,What are the names of actors who are not 20 years old?
musical,What are the characters of actors in descending order of age?
musical,"Return the characters for actors, ordered by age descending."
musical,What is the duration of the oldest actor?
musical,Return the duration of the actor with the greatest age.
musical,"What are the names of musicals with nominee ""Bob Fosse""?"
musical,Return the names of musicals who have the nominee Bob Fosse.
musical,"What are the distinct nominees of the musicals with the award that is not ""Tony Award""?"
musical,Return the different nominees of musicals that have an award that is not the Tony Award.
musical,Show names of actors and names of musicals they are in.
musical,What are the names of actors and the musicals that they are in?
musical,"Show names of actors that have appeared in musical with name ""The Phantom of the Opera""."
musical,What are the names of actors who have been in the musical titled The Phantom of the Opera?
musical,Show names of actors in descending order of the year their musical is awarded.
musical,What are the names of actors ordered descending by the year in which their musical was awarded?
musical,Show names of musicals and the number of actors who have appeared in the musicals.
musical,How many actors have appeared in each musical?
musical,Show names of musicals which have at least three actors.
musical,What are the names of musicals who have at 3 or more actors?
musical,Show different nominees and the number of musicals they have been nominated.
musical,How many musicals has each nominee been nominated for?
musical,List the nominees that have been nominated more than two musicals.
musical,Who are the nominees who have been nominated more than two times?
musical,"Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks""."
musical,Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?
twitter_1,"Find the emails of the user named ""Mary""."
twitter_1,"What is the partition id of the user named ""Iron Man""."
twitter_1,How many users are there?
twitter_1,How many followers does each user have?
twitter_1,Find the number of followers for each user.
twitter_1,Find the number of tweets in record.
twitter_1,Find the number of users who posted some tweets.
twitter_1,Find the name and email of the user whose name contains the word ‘Swift’.
twitter_1,Return the text of tweets about the topic 'intern'.
twitter_1,Find the name and email of the users who have more than 1000 followers.
twitter_1,Find the name and email for the users who have more than one follower.
twitter_1,Find the names of users who have more than one tweet.
twitter_1,Find the name of the user who has the largest number of followers.
twitter_1,Find the name and email of the user followed by the least number of people.
twitter_1,"List the name and number of followers for each user, and sort the results by the number of followers in descending order."
twitter_1,List the names of 5 users followed by the largest number of other users.
twitter_1,List the text of all tweets in the order of date.
twitter_1,Find the name of each user and number of tweets tweeted by each of them.
twitter_1,Find the name and partition id for users who tweeted less than twice.
twitter_1,"Find the name of the user who tweeted more than once, and number of tweets tweeted by them."
twitter_1,Find the maximum and total number of followers of all users.
product_catalog,Find the names of all the catalog entries.
product_catalog,What are all the catalog entry names?
product_catalog,Find the list of attribute data types possessed by more than 3 attribute definitions.
product_catalog,What are the attribute data types with more than 3 attribute definitions?
product_catalog,"What is the attribute data type of the attribute with name ""Green""?"
product_catalog,"Find the attribute data type for the attribute named ""Green""."
product_catalog,Find the name and level of catalog structure with level between 5 and 10.
product_catalog,What are the name and level of catalog structure with level number between 5 and 10
product_catalog,"Find all the catalog publishers whose name contains ""Murray"""
product_catalog,"Which catalog publishers have substring ""Murray"" in their names?"
product_catalog,Find the names and publication dates of all catalogs that have catalog level number greater than 5.
product_catalog,What are the name and publication date of the catalogs with catalog level number above 5?
product_catalog,What is the entry name of the most expensive catalog (in USD)?
product_catalog,Find the entry name of the catalog with the highest price (in USD).
product_catalog,What are the average and minimum price (in Euro) of all products?
product_catalog,Give me the average and minimum price (in Euro) of the products.
product_catalog,What is the product with the highest height? Give me the catalog entry name.
product_catalog,Which catalog content has the highest height? Give me the catalog entry name.
product_catalog,Find the name of the product that has the smallest capacity.
product_catalog,Which catalog content has the smallest capacity? Return the catalog entry name.
product_catalog,"Find the names of all the products whose stock number starts with ""2""."
product_catalog,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names."
product_catalog,Find the names of catalog entries with level number 8.
product_catalog,What are the names of catalog entries with level number 8?
product_catalog,Find the names of the products with length smaller than 3 or height greater than 5.
product_catalog,Which catalog contents have length below 3 or above 5? Find the catalog entry names.
product_catalog,Find the name and attribute ID of the attribute definitions with attribute value 0.
product_catalog,Which attribute definitions have attribute value 0? Give me the attribute name and attribute ID.
product_catalog,Find the name and capacity of products with price greater than 700 (in USD).
product_catalog,Which catalog contents has price above 700 dollars? Show their catalog entry names and capacities.
product_catalog,Find the dates on which more than one revisions were made.
product_catalog,On which days more than one revisions were made on catalogs.
product_catalog,How many products are there in the records?
product_catalog,Find the total number of catalog contents.
product_catalog,Name all the products with next entry ID greater than 8.
product_catalog,What are the catalog entry names of the products with next entry ID above 8?
flight_1,How many aircrafts do we have?
flight_1,How many aircrafts exist in the database?
flight_1,Show name and distance for all aircrafts.
flight_1,What are the names and distances for all airplanes?
flight_1,Show ids for all aircrafts with more than 1000 distance.
flight_1,What are the ids of all aircrafts that can cover a distance of more than 1000?
flight_1,How many aircrafts have distance between 1000 and 5000?
flight_1,What is the count of aircrafts that have a distance between 1000 and 5000?
flight_1,What is the name and distance for aircraft with id 12?
flight_1,What is the name and distance for the aircraft that has an id of 12?
flight_1,"What is the minimum, average, and maximum distance of all aircrafts."
flight_1,"Return the minimum, average and maximum distances traveled across all aircrafts."
flight_1,Show the id and name of the aircraft with the maximum distance.
flight_1,What is the id and name of the aircraft that can cover the maximum distance?
flight_1,Show the name of aircrafts with top three lowest distances.
flight_1,What are the aircrafts with top 3 shortest lengthes? List their names.
flight_1,How many employees do we have?
flight_1,What is the number of employees?
flight_1,Show name and salary for all employees sorted by salary.
flight_1,What is the name and salary of all employees in order of salary?
flight_1,Show ids for all employees with at least 100000 salary.
flight_1,What is the id of every employee who has at least a salary of  100000?
flight_1,How many employees have salary between 100000 and 200000?
flight_1,What is the number of employees that have a salary between 100000 and 200000?
flight_1,What is the name and salary for employee with id 242518965?
flight_1,What is the name and salary of the employee with the id 242518965?
flight_1,What is average and maximum salary of all employees.
flight_1,What is the average and largest salary of all employees?
flight_1,Show the id and name of the employee with maximum salary.
flight_1,What is the id and name of the employee with the highest salary?
flight_1,Show the name of employees with three lowest salaries.
flight_1,What is the name of the 3 employees who get paid the least?
flight_1,Show the id and salary of Mark Young.
flight_1,What is the id and salary of the employee named Mark Young?
flight_1,How many flights do we have?
flight_1,What is the number of flights?
flight_1,"Show flight number, origin, destination of all flights in the alphabetical order of the departure cities."
flight_1,"What is the flight number, origin, and destination for all flights in alphabetical order by departure cities?"
flight_1,Show all flight number from Los Angeles.
flight_1,What are the numbers of all flights coming from Los Angeles?
flight_1,Show origins of all flights with destination Honolulu.
flight_1,What are the origins of all flights that are headed to Honolulu?
flight_1,Show me the departure date and arrival date for all flights from Los Angeles to Honolulu.
flight_1,What are the departure and arrival dates of all flights from LA to Honolulu?
flight_1,Show flight number for all flights with more than 2000 distance.
flight_1,What are the numbers of all flights that can cover a distance of more than 2000?
flight_1,What is the average price for flights from Los Angeles to Honolulu.
flight_1,What is the average price for flights from LA to Honolulu?
flight_1,Show origin and destination for flights with price higher than 300.
flight_1,What is the origin and destination for all flights whose price is higher than 300?
flight_1,Show the flight number and distance of the flight with maximum price.
flight_1,What is the flight number and its distance for the one with the maximum price?
flight_1,Show the flight number of flights with three lowest distances.
flight_1,What are the numbers of the shortest flights?
flight_1,What is the average distance and average price for flights from Los Angeles.
flight_1,What is the average distance and price for all flights from LA?
flight_1,Show all origins and the number of flights from each origin.
flight_1,"For each origin, how many flights came from there?"
flight_1,Show all destinations and the number of flights to each destination.
flight_1,What are the destinations and number of flights to each one?
flight_1,What is the aircraft name for the flight with number 99
flight_1,What is the name of the aircraft that was on flight number 99?
flight_1,Show all flight numbers with aircraft Airbus A340-300.
flight_1,What are the flight numbers for the aircraft Airbus A340-300?
flight_1,Show aircraft names and number of flights for each aircraft.
flight_1,What is the name of each aircraft and how many flights does each one complete?
flight_1,Show names for all aircraft with at least two flights.
flight_1,What are the names for all aircrafts with at least 2 flights?
flight_1,How many employees have certificate.
flight_1,What is the count of distinct employees with certificates?
allergy_1,How many allergies are there?
allergy_1,How many allergy entries are there?
allergy_1,How many different allergy types exist?
allergy_1,How many distinct allergies are there?
allergy_1,Show all allergy types.
allergy_1,What are the different allergy types?
allergy_1,Show all allergies and their types.
allergy_1,What are the allergies and their types?
allergy_1,Show all allergies with type food.
allergy_1,What are all the different food allergies?
allergy_1,What is the type of allergy Cat?
allergy_1,What is allergy type of a cat allergy?
allergy_1,How many allergies have type animal?
allergy_1,How many animal type allergies exist?
allergy_1,Show all allergy types and the number of allergies in each type.
allergy_1,What are the allergy types and how many allergies correspond to each one?
allergy_1,How many students are there?
allergy_1,What is the total number of students?
allergy_1,Show first name and last name for all students.
allergy_1,What are the full names of all students
allergy_1,How many different advisors are listed?
allergy_1,How many advisors are there?
allergy_1,Show all majors.
allergy_1,What are the different majors?
allergy_1,Show all cities where students live.
allergy_1,What cities do students live in?
allergy_1,"Show first name, last name, age for all female students. Their sex is F."
allergy_1,What are the full names and ages for all female students whose sex is F?
allergy_1,Show student ids for all male students.
allergy_1,What are the student ids for all male students?
allergy_1,How many students are age 18?
allergy_1,How many students are 18 years old?
allergy_1,Show all student ids who are older than 20.
allergy_1,What are the student ids for students over 20 years old?
allergy_1,"Which city does the student whose last name is ""Kim"" live in?"
allergy_1,Give the city that the student whose family name is Kim lives in.
allergy_1,Who is the advisor of student with ID 1004?
allergy_1,Who advises student 1004?
allergy_1,How many students live in HKG or CHI?
allergy_1,Give the number of students living in either HKG or CHI.
allergy_1,"Show the minimum, average, and maximum age of all students."
allergy_1,"What is the minimum, mean, and maximum age across all students?"
allergy_1,Show all majors and corresponding number of students.
allergy_1,How many students are there for each major?
allergy_1,Show all ages and corresponding number of students.
allergy_1,How old is each student and how many students are each age?
allergy_1,Show the average age for male and female students.
allergy_1,What are the average ages for male and female students?
allergy_1,Show all cities and corresponding number of students.
allergy_1,How many students live in each city?
allergy_1,Show all advisors and corresponding number of students.
allergy_1,How many students does each advisor have?
allergy_1,How many students have cat allergies?
allergy_1,How many students are affected by cat allergies?
allergy_1,Show all student IDs who have at least two allergies.
allergy_1,What are the students ids of students who have more than one allergy?
allergy_1,How many students have a food allergy?
allergy_1,How many students are affected by food related allergies?
allergy_1,Show all allergies with number of students affected.
allergy_1,How many students have each different allergy?
allergy_1,Show all allergy type with number of students affected.
allergy_1,How many students are affected by each allergy type?
store_1,List every album's title.
store_1,What are the titles of all the albums?
store_1,List every album ordered by album title in ascending order.
store_1,What are the titles of all the albums alphabetically ascending?
store_1,"List total amount of  invoice from Chicago, IL."
store_1,"What are the total amount of money in the invoices billed from Chicago, Illinois?"
store_1,"List the number of invoices from Chicago, IL."
store_1,"How many invoices were billed from Chicago, IL?"
store_1,"List the number of invoices from the US, grouped by state."
store_1,How many invoices were billed from each state?
store_1,List the number of invoices and the invoice total from California.
store_1,What is the number of invoices and total money billed in them from CA?
store_1,List Aerosmith's albums.
store_1,What are the titles of all the Aerosmith albums?
store_1,How many albums does Billy Cobham has?
store_1,How many albums has Billy Cobam released?
store_1,Eduardo Martins is a customer at which company?
store_1,What is the company where Eduardo Martins is a customer?
store_1,What is Astrid Gruber's email and phone number?
store_1,What is the email and phone number of Astrid Gruber the customer?
store_1,How many customers live in Prague city?
store_1,How many customers live in the city of Prague?
store_1,How many customers in state of CA?
store_1,How many customers are from California?
store_1,What country does Roberto Almeida live?
store_1,In which country does Roberto Almeida?
store_1,How many customers does Steve Johnson support?
store_1,What is the count of customers that Steve Johnson supports?
store_1,"What is the title, phone and hire date of Nancy Edwards?"
store_1,"What is the title, phone number and hire date for the employee named Nancy Edwards?"
store_1,What is the address of employee Nancy Edwards?
store_1,What is Nancy Edwards's address?
store_1,How many employees are living in Canada?
store_1,How many employees live in Canada?
store_1,What is employee Nancy Edwards's phone number?
store_1,What is the the phone number of Nancy Edwards?
store_1,Who is the youngest employee in the company? List employee's first and last name.
store_1,What si the youngest employee's first and last name?
store_1,List top 10 employee work longest in the company. List employee's first and last name.
store_1,What are the first and last names of the top 10 longest-serving employees?
store_1,Find the number of employees whose title is IT Staff from each city?
store_1,How many employees who are IT staff are from each city?
store_1,How many orders does Lucas Mancini has?
store_1,How many orders does Luca Mancini have in his invoices?
store_1,What is the total amount of money spent by Lucas Mancini?
store_1,How much money did Lucas Mancini spend?
store_1,List all media types.
store_1,What are the names of all the media types?
store_1,List all different genre types.
store_1,What are the different names of the genres?
store_1,List the name of all playlist.
store_1,What are the names of all the playlists?
store_1,Who is the composer of track Fast As a Shark?
store_1,"What is the composer who created the track ""Fast As a Shark""?"
store_1,How long does track Fast As a Shark has?
store_1,How many milliseconds long is Fast As a Shark?
store_1,What is the name of tracks whose genre is Rock?
store_1,What is the name of all tracks in the Rock genre?
store_1,What is title of album which track Balls to the Wall belongs to?
store_1,What is the name of the album that has the track Ball to the Wall?
store_1,List name of all tracks in Balls to the Wall.
store_1,What is the name of all tracks in the album named Balls to the Wall?
store_1,List title of albums have the number of tracks greater than 10.
store_1,What are the names of the albums that have more than 10 tracks?
store_1,List the name of playlist which has number of tracks greater than 100.
store_1,What are the names of all playlists that have more than 100 tracks?
store_1,How much is the track Fast As a Shark?
store_1,"What is the unit price of the tune ""Fast As a Shark""?"
store_1,Find number of tracks in each genre?
store_1,How many tracks are in each genre?
journal_committee,How many editors are there?
journal_committee,List the names of editors in ascending order of age.
journal_committee,What are the names and ages of editors?
journal_committee,List the names of editors who are older than 25.
journal_committee,Show the names of editors of age either 24 or 25.
journal_committee,What is the name of the youngest editor?
journal_committee,What are the different ages of editors? Show each age along with the number of editors of that age.
journal_committee,Show the distinct themes of journals.
journal_committee,Show the names of editors and the theme of journals for which they serve on committees.
journal_committee,"For each journal_committee, find the editor name and the journal theme."
journal_committee,"Show the id, name of each editor and the number of journal committees they are on."
journal_committee,Show the names of editors that are on at least two journal committees.
journal_committee,What is the average sales of the journals that have an editor whose work type is 'Photo'?
customers_card_transactions,How many accounts do we have?
customers_card_transactions,Count the number of accounts.
customers_card_transactions,"Show ids, customer ids, names for all accounts."
customers_card_transactions,"What are the account ids, customer ids, and account names for all the accounts?"
customers_card_transactions,Show other account details for account with name 338.
customers_card_transactions,What are the other account details for the account with the name 338?
customers_card_transactions,"What is the first name, last name, and phone of the customer with account name 162?"
customers_card_transactions,Give the full name and phone of the customer who has the account name 162.
customers_card_transactions,How many accounts does the customer with first name Art and last name Turcotte have?
customers_card_transactions,Return the number of accounts that the customer with the first name Art and last name Turcotte has.
customers_card_transactions,Show all customer ids and the number of accounts for each customer.
customers_card_transactions,How many accounts are there for each customer id?
customers_card_transactions,Show distinct first and last names for all customers with an account.
customers_card_transactions,What are the full names of customers who have accounts?
customers_card_transactions,How many customers have an account?
customers_card_transactions,Count the number of customers who hold an account.
customers_card_transactions,How many customers do we have?
customers_card_transactions,Count the number of customers.
customers_card_transactions,"Show ids, first names, last names, and phones for all customers."
customers_card_transactions,"What are the ids, full names, and phones of each customer?"
customers_card_transactions,What is the phone and email for customer with first name Aniyah and last name Feest?
customers_card_transactions,Return the phone and email of the customer with the first name Aniyah and last name Feest.
customers_card_transactions,Show the number of customer cards.
customers_card_transactions,How many customer cards are there?
customers_card_transactions,"Show ids, customer ids, card type codes, card numbers for all cards."
customers_card_transactions,"What are card ids, customer ids, card types, and card numbers for each customer card?"
customers_card_transactions,Show the date valid from and the date valid to for the card with card number '4560596484842'.
customers_card_transactions,What are the valid from and valid to dates for the card with the number 4560596484842?
customers_card_transactions,"What is the first name, last name, and phone of the customer with card 4560596484842."
customers_card_transactions,Return the full name and phone of the customer who has card number 4560596484842.
customers_card_transactions,How many cards does customer Art Turcotte have?
customers_card_transactions,Count the number of cards the customer with the first name Art and last name Turcotte has.
customers_card_transactions,How many debit cards do we have?
customers_card_transactions,Count the number of customer cards of the type Debit.
customers_card_transactions,How many credit cards does customer Blanche Huels have?
customers_card_transactions,Count the number of credit cards that the customer with first name Blanche and last name Huels has.
customers_card_transactions,Show all customer ids and the number of cards owned by each customer.
customers_card_transactions,"What are the different customer ids, and how many cards does each one hold?"
customers_card_transactions,"Show id, first and last names for all customers with at least two cards."
customers_card_transactions,What are the ids and full names of customers who hold two or more cards?
customers_card_transactions,Show all card type codes and the number of cards in each type.
customers_card_transactions,"What are the different card types, and how many cards are there of each?"
customers_card_transactions,Show card type codes with at least 5 cards.
customers_card_transactions,What are the codes of card types that have 5 or more cards?
customers_card_transactions,Show all card type codes and the number of customers holding cards in each type.
customers_card_transactions,"What are the different card type codes, and how many different customers hold each type?"
customers_card_transactions,Show all card type codes.
customers_card_transactions,What are the different card type codes?
customers_card_transactions,Show the number of card types.
customers_card_transactions,How many different card types are there?
customers_card_transactions,Show all transaction types.
customers_card_transactions,What are the different types of transactions?
customers_card_transactions,Show the number of transaction types.
customers_card_transactions,How many different types of transactions are there?
customers_card_transactions,What is the average and total transaction amount?
customers_card_transactions,"Return the average transaction amount, as well as the total amount of all transactions."
customers_card_transactions,Show the card type codes and the number of transactions.
customers_card_transactions,"What are the different card types, and how many transactions have been made with each?"
customers_card_transactions,Show the transaction type and the number of transactions.
customers_card_transactions,"What are the different transaction types, and how many transactions of each have taken place?"
customers_card_transactions,Show the account id and the number of transactions for each account
customers_card_transactions,"What are the different account ids that have made financial transactions, as well as how many transactions correspond to each?"
race_track,How many tracks do we have?
race_track,Count the number of tracks.
race_track,Show the name and location for all tracks.
race_track,What are the names and locations of all tracks?
race_track,"Show names and seatings, ordered by seating for all tracks opened after 2000."
race_track,"What are the names and seatings for all tracks opened after 2000, ordered by seating?"
race_track,"What is the name, location and seating for the most recently opened track?"
race_track,"Return the name, location, and seating of the track that was opened in the most recent year."
race_track,"What is the minimum, maximum, and average seating for all tracks."
race_track,"Return the minimum, maximum, and average seating across all tracks."
race_track,What are distinct locations where tracks are located?
race_track,Give the different locations of tracks.
race_track,How many races are there?
race_track,Count the number of races.
race_track,What are the distinct classes that races can have?
race_track,Return the different classes of races.
race_track,"Show name, class, and date for all races."
race_track,"What are the names, classes, and dates for all races?"
race_track,Show the race class and number of races in each class.
race_track,"What are the different classes of races, and how many races correspond to each?"
race_track,List the race class with at least two races.
race_track,What are the classes of races that have two or more corresponding races?
race_track,Show year where a track with a seating at least 5000 opened and a track with seating no more than 4000 opened.
race_track,What are the years of opening for tracks with seating between 4000 and 5000?
race_track,Show the name of track and the number of races in each track.
race_track,"What are the names of different tracks, and how many races has each had?"
race_track,Show the name and date for each race and its track name.
race_track,"What are the names and dates of races, and the names of the tracks where they are held?"
race_track,Show the name and location of track with 1 race.
race_track,What are the names and locations of tracks that have had exactly 1 race?
coffee_shop,How many members have the black membership card?
coffee_shop,Find the number of members living in each address.
coffee_shop,Give me the names of members whose address is in Harford or Waterbury.
coffee_shop,"Find the purchase time, age and address of each member, and show the results in the order of purchase time."
coffee_shop,Which membership card has more than 5 members?
coffee_shop,How many members are not living in Hartford?
coffee_shop,Show the shop addresses ordered by their opening year.
coffee_shop,What are the average score and average staff number of all shops?
coffee_shop,What are the id and address of the shops which have a happy hour in May?
coffee_shop,Which months have more than 2 happy hours?
chinook_1,How many albums are there?
chinook_1,Find the number of albums.
chinook_1,List the names of all music genres.
chinook_1,What are the names of different music genres?
chinook_1,Find all the customer information in state NY.
chinook_1,What is all the customer information for customers in NY state?
chinook_1,What are the first names and last names of the employees who live in Calgary city.
chinook_1,Find the full names of employees living in the city of Calgary.
chinook_1,What are the distinct billing countries of the invoices?
chinook_1,Find the different billing countries for all invoices.
chinook_1,"Find the names of all artists that have ""a"" in their names."
chinook_1,What are the names of artist who have the letter 'a' in their names?
chinook_1,"Find the title of all the albums of the artist ""AC/DC""."
chinook_1,"What are the titles of albums by the artist ""AC/DC""?"
chinook_1,"Hom many albums does the artist ""Metallica"" have?"
chinook_1,"Find the number of albums by the artist ""Metallica""."
chinook_1,"Which artist does the album ""Balls to the Wall"" belong to?"
chinook_1,"Find the name of the artist who made the album ""Balls to the Wall""."
chinook_1,"Find the names of all the tracks that contain the word ""you""."
